,S1,S2,S3,S4,S5,S6,S7,S8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,98.35585041,98.30764106,95.63062143,98.29698844,98.47400782,95.66306933,98.34229246,98.41683696,100.0866048,99.68523212,100.1828511,99.51927276,99.58807846,100.2069991,99.6744275,100.1314781,95.85465221,95.57120191,94.08575957,93.95648478,94.14062351,94.05886524,95.78695942,94.3314303
2,96.76630466,97.78565528,95.21131656,97.87619058,96.91078487,95.29942609,97.86236276,96.85088092,100.5958277,99.6145135,100.7193172,99.34267946,99.4411996,100.8100277,99.46300574,100.5946685,87.50010466,86.51765046,88.86174612,89.20595205,89.25548788,89.20319997,86.87375042,89.64476478
3,99.49820133,97.7629319,95.83152536,97.97948211,99.99284679,95.89027055,97.89072145,99.52348804,100.6871975,99.42527492,100.8660159,99.05733866,99.18749877,101.0284721,99.22004555,100.6391747,84.50088489,83.30674134,86.18313695,86.6171071,86.64390452,86.51259222,83.78830612,87.06835675
4,96.25922129,92.94200979,94.2729318,92.95801136,96.46951712,94.31857687,93.00705221,96.27806419,101.9396376,100.0998267,102.1538039,99.65201309,99.88824016,102.5419102,99.84307203,101.8234842,79.9747082,78.4342823,80.58596729,81.40490247,81.48411722,81.1319452,79.15768219,81.77822617
5,97.75452255,93.69244158,96.26926085,93.82412008,98.19987587,96.34713264,93.89170654,97.65663869,101.6435232,99.08280216,101.887979,98.53278421,98.84065604,102.3726689,98.77671994,101.4079972,77.08852548,75.57275701,78.93498579,80.06024957,80.08100075,79.59534642,76.14213691,80.29322442
6,95.1409958,88.91807857,94.85210163,88.89195216,95.54115444,94.90095306,89.26971103,94.97735098,102.3004532,100.2747309,102.5533677,99.60657745,100.0430274,103.1161128,99.85561768,101.9986654,73.49863726,71.99445393,73.48831641,74.90316934,74.9151527,74.34087846,72.25232153,74.85268218
7,100.3880233,93.96889369,97.56741869,94.19193921,101.1263524,97.8344673,94.46312525,100.0093514,102.7572192,100.5178804,102.9947182,99.95863496,100.4094771,103.5833604,100.1071929,102.2941718,73.52944361,72.00044355,75.41965025,76.96169304,76.955945,76.28874443,72.20168233,76.83270068
8,101.4551418,93.54440376,99.37224871,93.64952725,102.3306016,99.82292448,94.1675855,101.0485048,102.4122987,100.4038411,102.6335411,100.0065459,100.3445496,103.1593464,100.0435374,101.7302023,77.10189668,75.30356797,79.1960029,80.17669884,80.36849758,79.67079275,75.88728556,80.51755171
9,102.8123687,95.1361368,98.21473336,95.28558757,103.7696194,98.81458051,96.02003747,102.3740691,101.7520385,98.77187389,101.9559307,98.40083581,98.70021275,102.4266629,98.47939913,100.968046,82.50988153,80.20845918,84.45133892,84.91904972,85.41797678,84.84167673,81.36284246,85.68225325
10,99.66467565,91.42397829,94.79238169,91.4588143,100.4570519,95.49546104,92.36848204,99.57238756,102.8121069,99.25466542,103.1201724,98.85627477,99.29199749,103.5154947,98.93861639,102.0044004,79.91717675,77.8362089,80.10479061,80.84947938,81.24466945,80.55604143,78.60867291,81.23554072
11,103.2972324,95.59679075,98.1671111,95.60989799,104.4364251,98.96194529,96.58095918,102.8105581,102.4379533,98.78792043,102.7794937,98.38928186,98.80032023,102.9608585,98.49778845,101.5147822,78.68133196,76.71842241,78.16703337,78.844045,79.31788973,78.54700558,77.44780843,79.22356824
12,101.9624452,95.1796891,95.34266465,95.0869614,103.0473337,96.09327344,96.19681412,101.6814195,103.9220249,99.97068857,104.4458375,99.54240381,100.0895394,104.5624942,99.6173581,103.0248116,78.76690543,76.71497692,79.23734592,80.3295559,80.59101462,79.81008483,77.46109433,80.48824558
13,104.4751529,96.12570317,96.4174213,95.85515777,105.6577885,97.41134526,97.17737286,104.0517977,104.5751364,100.9638049,105.1705159,100.5081959,101.0795424,105.1459618,100.6130942,103.6793613,78.12942512,76.08074251,78.11311709,79.40520382,79.5002718,78.69203298,76.79427099,79.33784513
14,106.5327664,98.08999433,98.48325797,97.84054221,107.8558891,99.82680802,99.39517105,105.8363792,103.8892225,100.0493789,104.4954795,99.52434562,100.0414477,104.2768286,99.65337209,102.9292039,80.89114366,78.59614252,81.99923366,82.64639804,83.25220992,82.28974078,79.38507118,83.01155385
15,106.0889187,98.07302679,97.4617689,97.75197181,107.4572408,98.91388022,99.27479086,105.5105301,103.253257,99.9652948,104.0425445,99.34085339,99.98526846,103.6343073,99.52017312,102.3222867,83.5995306,80.96209211,85.29819861,85.62718456,86.47990184,85.4633108,81.80721598,86.14443101
16,107.604193,99.19660273,95.23770612,98.8156317,109.0825756,96.84061942,100.257457,106.9017502,103.6536721,100.4756784,104.6039993,99.73559503,100.570687,103.9437882,99.93633815,102.7433908,81.24320608,78.66340375,81.73390486,83.25851088,83.37572511,82.45075232,79.55143426,83.17818437
17,108.9447513,99.30079857,92.47186459,98.89849069,110.4144685,94.09417325,100.177061,107.9640899,103.7461124,100.5228426,104.7273911,99.68084265,100.607995,103.8103759,99.94934025,102.8584231,79.20956149,76.57981748,78.45607342,80.92238076,80.46347291,79.5827112,77.59707395,80.22266117
18,107.0859093,98.06991385,91.64681999,97.71242163,108.4707066,93.05539201,98.68997434,106.1995275,105.4084661,102.1126442,106.6091943,101.0592968,102.260151,105.4914727,101.4606123,104.447847,75.10023869,72.59301687,75.35510608,78.92841195,77.75113337,77.04245605,73.74051358,77.50210038
19,106.1150263,97.14271294,89.92310071,96.99548103,107.4581445,91.24537828,97.68607985,105.2675787,105.3417376,101.4815855,106.669272,100.2637323,101.4192394,105.3296142,100.7318715,104.3852085,74.50950742,71.90579937,73.70775923,77.81120998,76.2417478,75.70673196,73.15484473,76.04435177
20,106.9903303,97.69318967,91.34812942,97.79664209,108.6515692,92.86237723,98.22601618,106.3134169,104.6607686,100.326538,106.1638575,98.97010099,99.96427795,104.5898033,99.45246386,103.8774955,74.23120192,71.58455575,75.48446325,79.78390971,78.0704801,77.5992707,72.91947273,78.03655276
21,104.2518624,98.46236284,93.95936311,98.55360259,106.0340762,95.47842674,98.92057983,104.1199029,104.492423,100.3940344,106.1338051,99.06559875,99.89167148,104.3601477,99.49405082,103.8419203,73.79641638,71.25349195,77.16792301,81.30081047,79.63861673,79.13572993,72.56348334,79.80015502
22,107.283968,100.3622554,96.26731124,100.7013477,109.3989315,98.3363216,101.0031587,107.1215893,103.4949277,99.49481475,105.1715918,98.23020688,98.84671106,103.1859337,98.6422749,102.8691925,77.77356785,75.0656588,80.64598919,84.5389602,83.00058781,82.34744387,76.42380147,83.39694786
